utility_type,given_flat_id,year_month,opening_reading,closing_reading,monthly_reading,opening_timestamp,closing_timestamp,computed_at
Diesel,Crystal810-F,2026-02,211.13,218.1,6.97,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Turquoise806,2026-02,239.81,245.88,6.07,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Turquoise1402,2026-02,33.66,45.38,11.72,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Pearl1605-E,2026-02,117187,117645,458,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise405,2026-02,28523.58,28748.36,224.78,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum1606-D,2026-02,52.15,57.96,5.81,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Jade1307,2026-02,199.38,207,7.62,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Jade708,2026-02,115.01,117.62,2.61,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aquamarine910,2026-02,562808,577107,14299,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aquamarine210,2026-02,39731,0,-39731,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Ruby1801,2026-02,57008,57008,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Ruby503,2026-02,91621,97296,5675,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,PearlG02-E,2026-02,107.52,110.86,3.34,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl704-E,2026-02,62.66,64.09,1.43,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl1410-E,2026-02,0.71,6.54,5.83,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Pearl908-E,2026-02,1038.25,1198.23,159.98,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Crystal1410-F,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Crystal905-F,2026-02,111153,112091,938,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Argentum401-D,2026-02,910853,931259,20406,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Gas,Platinum1005,2026-02,344116,344116,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Gas,Platinum1805,2026-02,26811,26811,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Electricity,Amethyst909,2026-02,21583.93,21816.05,232.12,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Ruby1109,2026-02,55.3,64,8.7,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Turquoise1904,2026-02,304.19,310.91,6.72,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Pearl206-E,2026-02,14417,36721,22304,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise1507,2026-02,14501.61,14648.21,146.6,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise1106,2026-02,11474.4,11610.58,136.18,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Ruby1302,2026-02,20628,23023,2395,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl1009-E,2026-02,270.94,272.72,1.78,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Opal1004,2026-02,75.22,79.59,4.37,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Opal308,2026-02,254351,261595,7244,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Gas,Platinum504,2026-02,72432,72432,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Electricity,Amethyst303,2026-02,9735.19,9857.48,122.29,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
