Type_of_utility,given_flat_id,date,starting_reading,closing_reading
Diesel,AurumG001,12-01-2025,274.15,274.16
Diesel,AurumG002,12-01-2025,103.02,103.03
Diesel,AurumG003,12-01-2025,195.73,195.74
Diesel,AurumG004,12-01-2025,275.78,275.79
Diesel,AurumG005,12-01-2025,489.07,489.08
Diesel,AurumG006,12-01-2025,35.55,35.56
Diesel,AurumG007,12-01-2025,358.54,358.54
Diesel,AurumG008,12-01-2025,0.0,0.0
Diesel,AurumG009,12-01-2025,328.05,328.06
Diesel,AurumG010,12-01-2025,132.34,132.35
Diesel,Aurum101,12-01-2025,413.69,413.7
Diesel,Aurum102,12-01-2025,543.88,543.88
Diesel,Aurum103,12-01-2025,210.25,210.25
Diesel,Aurum104,12-01-2025,388.73,388.74
Diesel,Aurum105,12-01-2025,25.55,25.55
Diesel,Aurum106,12-01-2025,510.37,510.37
Diesel,Aurum107,12-01-2025,588.93,588.94
Diesel,Aurum108,12-01-2025,616.45,616.47
Diesel,Aurum109,12-01-2025,205.14,205.14
Diesel,Aurum110,12-01-2025,421.55,421.55
Diesel,Aurum201,12-01-2025,334.89,334.89
Diesel,Aurum202,12-01-2025,239.95,239.95
Diesel,Aurum203,12-01-2025,319.65,319.65
Diesel,Aurum204,12-01-2025,414.34,414.34
Diesel,Aurum205,12-01-2025,62.81,62.82
Diesel,Aurum206,12-01-2025,696.27,696.28
Diesel,Aurum207,12-01-2025,446.1,446.1
Diesel,Aurum208,12-01-2025,163.2,163.2
Diesel,Aurum209,12-01-2025,431.23,431.24
Diesel,Aurum210,12-01-2025,583.88,583.9
Diesel,Aurum301,12-01-2025,369.61,369.62
Diesel,Aurum302,12-01-2025,403.44,403.44
Diesel,Aurum303,12-01-2025,353.02,353.03
Diesel,Aurum304,12-01-2025,129.8,129.9
Diesel,Aurum305,12-01-2025,526.93,526.93
Diesel,Aurum306,12-01-2025,356.8,356.81
Diesel,Aurum307,12-01-2025,406.87,406.87
Diesel,Aurum308,12-01-2025,170.03,170.05
Diesel,Aurum309,12-01-2025,268.59,268.59
Diesel,Aurum310,12-01-2025,404.91,404.92
Diesel,Aurum401,12-01-2025,689.19,689.2
Diesel,Aurum402,12-01-2025,339.53,339.54
Diesel,Aurum403,12-01-2025,314.67,314.68
Diesel,Aurum404,12-01-2025,377.45,377.47
Diesel,Aurum405,12-01-2025,795.85,795.87
Diesel,Aurum406,12-01-2025,60.14,60.14
Diesel,Aurum407,12-01-2025,608.42,608.44
Diesel,Aurum408,12-01-2025,268.24,268.25
Diesel,Aurum409,12-01-2025,328.53,328.53
Diesel,Aurum410,12-01-2025,534.42,534.42
Diesel,Aurum501,12-01-2025,471.88,471.89
Diesel,Aurum502,12-01-2025,274.53,274.53
Diesel,Aurum503,12-01-2025,198.47,198.48
Diesel,Aurum504,12-01-2025,414.87,414.88
Diesel,Aurum505,12-01-2025,524.77,524.77
Diesel,Aurum506,12-01-2025,613.19,613.2
Diesel,Aurum507,12-01-2025,563.92,563.95
Diesel,Aurum508,12-01-2025,202.01,202.02
Diesel,Aurum509,12-01-2025,337.14,337.15
Diesel,Aurum510,12-01-2025,39.54,39.54
Diesel,Aurum601,12-01-2025,726.64,726.64
Diesel,Aurum602,12-01-2025,7.19,7.2
Diesel,Aurum603,12-01-2025,322.77,322.77
Diesel,Aurum604,12-01-2025,324.31,324.32
Diesel,Aurum605,12-01-2025,458.37,458.38
Diesel,Aurum606,12-01-2025,585.49,585.52
Diesel,Aurum607,12-01-2025,622.26,622.26
Diesel,Aurum608,12-01-2025,358.03,358.03
Diesel,Aurum609,12-01-2025,22.89,22.91
Diesel,Aurum610,12-01-2025,443.07,443.07
Diesel,Aurum701,12-01-2025,303.28,303.28
Diesel,Aurum702,12-01-2025,303.64,303.65
Diesel,Aurum703,12-01-2025,472.23,472.23
Diesel,Aurum704,12-01-2025,244.16,244.16
Diesel,Aurum705,12-01-2025,309.82,309.83
Diesel,Aurum706,12-01-2025,378.16,378.16
Diesel,Aurum707,12-01-2025,375.05,375.06
Diesel,Aurum708,12-01-2025,294.17,294.18
Diesel,Aurum709,12-01-2025,482.51,482.51
Diesel,Aurum710,12-01-2025,683.8,683.8
Diesel,Aurum801,12-01-2025,398.47,398.47
Diesel,Aurum802,12-01-2025,355.44,355.44
Diesel,Aurum803,12-01-2025,174.58,174.59
Diesel,Aurum804,12-01-2025,389.1,389.11
Diesel,Aurum805,12-01-2025,233.13,233.14
Diesel,Aurum806,12-01-2025,601.43,601.44
Diesel,Aurum807,12-01-2025,446.36,446.36
Diesel,Aurum808,12-01-2025,440.55,440.56
Diesel,Aurum809,12-01-2025,318.58,318.58
Diesel,Aurum810,12-01-2025,368.54,368.54
Diesel,Aurum901,12-01-2025,388.42,388.43
Diesel,Aurum902,12-01-2025,312.62,312.63
Diesel,Aurum903,12-01-2025,293.85,293.85
Diesel,Aurum904,12-01-2025,409.39,409.39
Diesel,Aurum905,12-01-2025,350.54,350.55
Diesel,Aurum906,12-01-2025,321.24,321.25
Diesel,Aurum907,12-01-2025,401.95,401.95
Diesel,Aurum908,12-01-2025,167.99,167.99
Diesel,Aurum909,12-01-2025,229.01,229.01
Diesel,Aurum910,12-01-2025,333.31,333.32
Diesel,Aurum1001,12-01-2025,541.87,541.89
Diesel,Aurum1002,12-01-2025,276.52,276.53
Diesel,Aurum1003,12-01-2025,206.03,206.03
Diesel,Aurum1004,12-01-2025,299.99,299.99
Diesel,Aurum1005,12-01-2025,35.79,35.79
Diesel,Aurum1006,12-01-2025,705.75,705.76
Diesel,Aurum1007,12-01-2025,327.94,327.95
Diesel,Aurum1008,12-01-2025,207.32,207.33
Diesel,Aurum1009,12-01-2025,384.21,384.21
Diesel,Aurum1010,12-01-2025,103.59,103.6
Diesel,Aurum1101,12-01-2025,271.86,271.87
Diesel,Aurum1102,12-01-2025,10.24,10.25
Diesel,Aurum1103,12-01-2025,215.73,215.73
Diesel,Aurum1104,12-01-2025,499.1,499.1
Diesel,Aurum1105,12-01-2025,13.95,13.95
Diesel,Aurum1106,12-01-2025,533.87,533.88
Diesel,Aurum1107,12-01-2025,39.11,39.13
Diesel,Aurum1108,12-01-2025,46.62,46.63
Diesel,Aurum1109,12-01-2025,360.72,360.73
Diesel,Aurum1110,12-01-2025,263.85,263.85
Diesel,Aurum1201,12-01-2025,942.44,942.45
Diesel,Aurum1202,12-01-2025,565.39,565.4
Diesel,Aurum1203,12-01-2025,599.37,599.37
Diesel,Aurum1204,12-01-2025,831.74,831.74
Diesel,Aurum1205,12-01-2025,536.84,536.84
Diesel,Aurum1206,12-01-2025,365.88,365.89
Diesel,Aurum1207,12-01-2025,636.18,636.18
Diesel,Aurum1208,12-01-2025,336.49,336.5
Diesel,Aurum1209,12-01-2025,257.64,257.64
Diesel,Aurum1210,12-01-2025,533.37,533.38
Diesel,Aurum1301,12-01-2025,33.81,33.81
Diesel,Aurum1302,12-01-2025,422.31,422.31
Diesel,Aurum1303,12-01-2025,277.66,277.66
Diesel,Aurum1304,12-01-2025,125.75,125.75
Diesel,Aurum1305,12-01-2025,368.7,368.71
Diesel,Aurum1306,12-01-2025,403.22,403.23
Diesel,Aurum1307,12-01-2025,361.58,361.58
Diesel,Aurum1308,12-01-2025,398.24,398.24
Diesel,Aurum1309,12-01-2025,94.89,94.9
Diesel,Aurum1310,12-01-2025,517.31,517.31
Diesel,Aurum1401,12-01-2025,427.29,427.29
Diesel,Aurum1402,12-01-2025,365.62,365.63
Diesel,Aurum1403,12-01-2025,225.96,225.96
Diesel,Aurum1404,12-01-2025,245.12,245.12
Diesel,Aurum1405,12-01-2025,162.48,162.48
Diesel,Aurum1406,12-01-2025,314.84,314.86
Diesel,Aurum1407,12-01-2025,335.49,335.5
Diesel,Aurum1408,12-01-2025,513.35,513.38
Diesel,Aurum1409,12-01-2025,323.19,323.2
Diesel,Aurum1410,12-01-2025,596.19,596.2
Diesel,Aurum1501,12-01-2025,390.11,390.12
Diesel,Aurum1502,12-01-2025,405.5,405.5
Diesel,Aurum1503,12-01-2025,423.0,423.01
Diesel,Aurum1504,12-01-2025,243.69,243.69
Diesel,Aurum1505,12-01-2025,41.16,41.17
Diesel,Aurum1506,12-01-2025,488.91,488.91
Diesel,Aurum1507,12-01-2025,0.0,0.0
Diesel,Aurum1508,12-01-2025,382.01,382.02
Diesel,Aurum1509,12-01-2025,520.58,520.58
Diesel,Aurum1510,12-01-2025,485.77,485.77
Diesel,Aurum1601,12-01-2025,357.22,357.23
Diesel,Aurum1602,12-01-2025,110.06,110.06
Diesel,Aurum1603,12-01-2025,276.0,276.01
Diesel,Aurum1604,12-01-2025,323.08,323.09
Diesel,Aurum1605,12-01-2025,200.25,200.26
Diesel,Aurum1606,12-01-2025,38.0,38.0
Diesel,Aurum1607,12-01-2025,46.33,46.34
Diesel,Aurum1608,12-01-2025,627.97,627.98
Diesel,Aurum1609,12-01-2025,88.46,88.57
Diesel,Aurum1610,12-01-2025,454.99,454.99
Diesel,Aurum1701,12-01-2025,0.0,0.0
Diesel,Aurum1702,12-01-2025,181.39,181.4
Diesel,Aurum1703,12-01-2025,494.18,494.2
Diesel,Aurum1704,12-01-2025,386.21,386.21
Diesel,Aurum1705,12-01-2025,338.98,338.98
Diesel,Aurum1706,12-01-2025,14.41,14.42
Diesel,Aurum1707,12-01-2025,490.15,490.16
Diesel,Aurum1708,12-01-2025,542.34,542.36
Diesel,Aurum1709,12-01-2025,343.88,343.89
Diesel,Aurum1710,12-01-2025,241.05,241.05
Diesel,Aurum1801,12-01-2025,393.21,393.23
Diesel,Aurum1802,12-01-2025,632.78,632.79
Diesel,Aurum1803,12-01-2025,269.89,269.89
Diesel,Aurum1804,12-01-2025,357.32,357.32
Diesel,Aurum1805,12-01-2025,239.08,239.08
Diesel,Aurum1806,12-01-2025,514.57,514.58
Diesel,Aurum1807,12-01-2025,474.45,474.45
Diesel,Aurum1808,12-01-2025,194.35,194.35
Diesel,Aurum1809,12-01-2025,384.39,384.39
Diesel,Aurum1810,12-01-2025,1294.83,1294.85
Diesel,Aurum1901,12-01-2025,470.22,470.22
Diesel,Aurum1902,12-01-2025,249.93,249.93
Diesel,Aurum1903,12-01-2025,212.8,212.8
Diesel,Aurum1904,12-01-2025,464.19,464.19
